"biography","birthday","deathday","gender","name","place_of_birth","facebook_likes"
"","1977",,2,"Christian Ditter",,11.0
"From Wikipedia, the free encyclopedia.   

Charles Martin Smith (born October 30, 1953) is an American film actor, writer, and director.

Description above from the Wikipedia article   Charles Martin Smith, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1953-10-30",,2,"Charles Martin Smith","Van Nuys, California, USA",188.0
"From Wikipedia, the free encyclopedia.   

Irvin Kershner (April 29, 1923     November 27, 2010) was an American film director and occasional actor, best known for directing quirky, independent films early in his career, and then Star Wars Episode V: The Empire Strikes Back.

Description above from the Wikipedia article  Irvin Kershner  , licensed under CC-BY-SA, full list of contributors on Wikipedia.","1923-04-29","2010-11-27",2,"Irvin Kershner","Philadelphia, Pennsylvania, USA",883.0
"From Wikipedia, the free encyclopedia.   

Steve Pink (born February 3, 1966) is an American actor, screenwriter and director. He is the director of the comedy films Accepted and Hot Tub Time Machine, and the co-writer of the films Grosse Pointe Blank and High Fidelity.

Description above from the Wikipedia article Steve Pink, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1966-02-03",,2,"Steve Pink","USA",38.0
"From Wikipedia, the free encyclopedia.

Robert Scott Hicks (born 4 March 1953) is a film director from Australia. He is best known as the screenwriter and director of Shine, the Oscar-winning biopic of pianist David Helfgott. Hicks's work has been nominated for an Academy Award as well as winning an Emmy Award.

Description above from the Wikipedia article Scott Hicks, licensed under CC-BY-SA, full list of contributors on Wikipedia","1953-03-04",,2,"Scott Hicks","Uganda",96.0
"Christopher Julius ""Chris"" Rock III (born February 7, 1965) is an American comedian, actor, screenwriter, television producer, film producer and director. He was voted in the US as the 5th greatest stand-up comedian of all time by Comedy Central. He was also voted in the UK as the 9th greatest stand-up comic on Channel 4's 100 Greatest Stand-Ups in 2007, and again in the updated 2010 list as the 8th greatest stand-up comic. He is also known for his roles in Dogma, Beverly Hills Ninja, Lethal Weapon 4, Nurse Betty, The Longest Yard, Bad Company, and a starring role in Down to Earth. Rock has also increasingly worked behind the camera, both as a writer and director of Head of State and I Think I Love My Wife. In the fall of 2005, the UPN television network premiered a comedy series called Everybody Hates Chris, based on Rock's school days, of which he is the executive producer and narrator. The show has garnered both critical and ratings success. The series was nominated for a 2006 Golden Globe for Best TV Series (Musical or Comedy), a 2006 People's Choice Award for Favorite New Television Comedy, and two 2006 Emmy Awards for costuming and cinematography. Following the release of his first documentary, 2009's Good Hair, Rock is working on a documentary about debt called Credit is the Devil. In 2010 he starred alongside Adam Sandler in Grown-ups and with fellow comedian/actor Martin Lawrence in the remake of the British film Death at a Funeral. Rock has been married to Malaak Compton-Rock since November 23, 1996. They have two daughters together, Lola Simone and Zahra Savannah.","1965-02-07",,2,"Chris Rock","Andrews, South Carolina, USA",0.0
"From Wikipedia, the free encyclopedia.

Wilson Yip (born Yip Wai-Shun) is a Hong Kong actor, filmmaker and screenwriter. 

His films include ""SPL: Sha Po Lang"" , ""Dragon Tiger Gate"" , ""Flash Point"" and ""Ip Man"" 1+2+3.

Description above from the Wikipedia article Wilson Yip, see full list of contributors on Wikipedia.","1963-10-23",,2,"Wilson Yip","Hong Kong",25.0
"From Wikipedia, the free encyclopedia

Robert Earl Wise (September 10, 1914     September 14, 2005) was an American sound effects editor, film editor, film producer and director. He won Academy Awards as Best Director for The Sound of Music (1965) and West Side Story (1961) as well as nominations as Best Film Editing for Citizen Kane (1941) and Best Picture for The Sand Pebbles (1966).

Among his other films are Born to Kill; Destination Gobi; The Hindenburg; Star Trek: The Motion Picture; The Day the Earth Stood Still; Run Silent, Run Deep; The Andromeda Strain; The Set-Up; The Haunting; and The Body Snatcher. Wise's working period spanned the 1930s to the 1990s.

Often contrasted with contemporary ""auteur"" directors such as Stanley Kubrick who tended to bring a distinctive directorial ""look"" to a particular genre, Wise is famously viewed to have allowed his (sometimes studio assigned) story to dictate style. Later critics such as Martin Scorsese would go on to expand that characterization, insisting that despite Wise's notorious workaday concentration on stylistic perfection within the confines of genre and budget, his choice of subject matter and approach still functioned to identify Wise as an artist and not merely an artisan. Through whatever means, Wise's approach would bring him critical success as a director in many different traditional film genres: from horror to noir to Western to war films to science fiction, to musical and drama, with many repeat hits within each genre. Wise's tendency towards professionalism led to a degree of preparedness which, though nominally motivated by studio budget constraints, nevertheless advanced the moviemaking art, with many Academy Award-winning films the result. Robert Wise received the AFI Life Achievement Award in 1998.

  

Description above from the Wikipedia article Robert Wise, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1914-09-10","2005-09-14",2,"Robert Wise","Winchester, Indiana, USA",338.0
"From Wikipedia, the free encyclopedia.

Kevin Rodney Sullivan (born August 3, 1958) is an American film and television actor and film director. He is married to wife Nita Sullivan, and has a daughter, Nicole L. Sullivan.

Description above from the Wikipedia article Kevin Rodney Sullivan, licensed under CC-BY-SA, full list of contributors on Wikipedia","1958-08-03",,2,"Kevin Rodney Sullivan","San Francisco, California, USA",8.0
"From Wikipedia, the free encyclopedia

Kevin Andrew Munroe is a Canadian filmmaker, now an American citizen. His best known work is that of writer and director of TMNT (2007). He also had a cameo appearance as a diner patron in the same film. His most recent film was Dead of Night.

Description above from the Wikipedia article Kevin Munroe, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,"Kevin Munroe","Bathurst, New Brunswick",14.0
"From Wikipedia, the free encyclopedia.   

Patrick Tatopoulos is a French-Greek production designer, who lives and works in the United States. His designs have appeared in numerous motion pictures, including Pitch Black, Underworld, I, Robot, The Chronicles of Riddick, Independence Day, Bram Stoker's Dracula, Stargate, Spawn, Godzilla, Stuart Little, I Am Legend, 10,000 BC, and Live Free or Die Hard.

Description above from the Wikipedia article Patrick Tatopoulos, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,"Patrick Tatopoulos",,148.0
"From Wikipedia, the free encyclopedia.

Gary David Goldberg (born June 25, 1944) is a United States writer and producer for television and film. Goldberg is best known for his work on Family Ties (1982   89), Spin City (1996   2002), and his semi-autobiographical series Brooklyn Bridge (1991   93).

Description above from the Wikipedia article Gary David Goldberg, licensed under CC-BY-SA, full list of contributors on Wikipedia","1944-06-25",,2,"Gary David Goldberg","Brooklyn, New York, USA",30.0
"From Wikipedia, the free encyclopedia

Tobe Hooper (born January 25, 1943) is an American film director and screenwriter, best known for his work in the horror film genre. His works include the cult classic The Texas Chain Saw Massacre (1974), along with its first sequel, The Texas Chainsaw Massacre 2 (1986); the three-time Emmy-nominated Stephen King film adaptation Salem's Lot (1979); and the three-time Academy Award-nominated, Steven Spielberg-produced Poltergeist (1982).

Description above from the Wikipedia article Tobe Hooper, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1943-01-25",,2,"Tobe Hooper","Austin, Texas, USA",365.0
"From Wikipedia, the free encyclopedia

Alan Mark Poul (born May 1, 1954) is an American film and television producer and director.","1954-05-01",,2,"Alan Poul","Atlanta - Georgia - USA",16.0
"From Wikipedia, the free encyclopedia.

Luke Greenfield (born February 5, 1972) is an American film director. Greenfield was born in Manhasset, New York and was raised in Westport, Connecticut. He is best known for directing The Animal and The Girl Next Door. In July 2007, he appeared as a guest judge on the filmmaking reality show On the Lot. Greenfield directed the critically acclaimed television pilot, Aliens in America, and produced the film, Role Models.

Description above from the Wikipedia article Luke Greenfield, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1972-02-05",,2,"Luke Greenfield","Manhassett, New York, USA",42.0
"Gil Junger (born November 7, 1954 in New York City) is an American director for Touchstone Pictures, most famous for 10 Things I Hate About You, his directorial film debut.","1954-11-07",,2,"Gil Junger","New York City, New York, USA",19.0
"From Wikipedia, the free encyclopedia

Michael Brunswick Ritchie (November 28, 1938 - April 16, 2001) was an American film director.

Ritchie was born in Waukesha, Wisconsin, the son of Patricia (n  e Graney) and Benbow Ferguson Ritchie. His family later moved to Berkeley, California, where his father was a professor of experimental psychology at the University of California at Berkeley and his mother was the art and music librarian for the city.

He attended Berkeley High School before becoming interested in film, and was accepted at Harvard University following high school.

Ritchie attracted attention in his senior year at Harvard in 1960 by directing the original production of the Arthur Kopit play, Oh Dad, Poor Dad, Mamma's Hung You in the Closet and I'm Feelin' So Sad in Cambridge, Massachusetts.

His work on Kopit's play led to a job offer from Robert Saudek, the producer of the Omnibus television series. Ritchie also directed episodes of Profiles in Courage and such TV series as The Man From U.N.C.L.E., Dr. Kildare and Felony Squad prior to making his Hollywood feature-film debut in 1969 with Downhill Racer.

His sister, Elsie Ritchie, acted in two of his films (The Candidate and Smile).

In 1994, Ritchie purchased the hacienda-style house at 12305 Fifth Helena Drive, in the Brentwood district of Los Angeles, where Marilyn Monroe died in 1962. He bought it for $995,000.

In 1994, Ritchie moved to Manhattan with his wife, Jimmie B. Ritchie, and daughters, Lillian (b. 1986) and Miriam (b. 1988). His additional children include a son, Steven (b. 1973); daughters Lauren (b. 1966) and Jessica (b. 1973), and two stepchildren, Nelly Bly and Billy Bly.

Ritchie died at age 62 of complications from prostate cancer, on April 16, 2001, in New York.

Description above from the Wikipedia article Michael Ritchie (film director), licensed under CC-BY-SA, full list of contributors on Wikipedia.","1938-11-28","2001-04-16",2,"Michael Ritchie","Waukesha, Wisconsin, USA",23.0
"From Wikipedia, the free encyclopedia.

Steven E. de Souza (born 17 November 1947) is an American producer, director and screenwriter. He is among a handful of screenwriters whose films have earned over two billion dollars at the worldwide box office.

Description above from the Wikipedia article Steven E. de Souza, licensed under CC-BY-SA, full list of contributors on Wikipedia","1947-11-17",,2,"Steven E. de Souza","Philadelphia, Pennsylvania",133.0
"From Wikipedia, the free encyclopedia.

Alexandre Aja (born 7 August 1978) is a French film director who rose to international stardom for his 2003 horror film Haute Tension (known as High Tension in the US, and known as Switchblade Romance in the UK).

Description above from the Wikipedia article Alexandre Aja, licensed under CC-BY-SA, full list of contributors on Wikipedia","1978-08-07",,2,"Alexandre Aja","Paris, France",192.0
"From Wikipedia, the free encyclopedia.   

Michael Rymer (born 1963 in Australia) is a television and film director, best known for his work on the re-imagined Battlestar Galactica TV series, for which he directed the pilot miniseries and several episodes of the series, and for the 2002 feature film, Queen of the Damned.

Description above from the Wikipedia article  Michael Rymer     licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,"Michael Rymer",,48.0
"From Wikipedia, the free encyclopedia.   

Hugh Wilson (born August 21, 1943) is an American director, writer and actor. He is best known as the creator and executive producer of the TV series WKRP in Cincinnati and Frank's Place.

Hugh is a distinguished alumnus from the College of Journalism and Communications at the University of Florida in Gainesville. He is currently a guest professor of Media Studies at the University of Virginia.

The character of Bailey Quarters on WKRP was based on Wilson's wife.

Description above from the Wikipedia article Hugh Wilson (director), licensed under CC-BY-SA, full list of contributors on Wikipedia.","1943-08-21",,2,"Hugh Wilson","Miami, Florida, USA",37.0
"From Wikipedia, the free encyclopedia.

Mike Hodges (born 29 July 1932, Bristol, England) is an English screenwriter and film director. His films as director include Get Carter (1971), Pulp (1972), the 1980 version of Flash Gordon and Croupier (1998).

Description above from the Wikipedia article Mike Hodges, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1932-07-29",,0,"Mike Hodges","Bristol, England United Kingdom",24.0
"",,,0,"Scott Mann",,8.0
"",,,0,"Susanna White",,24.0
"Born and raised in Bellflower, California, Chris Carter graduated from the California State University at Long Beach with a degree in journalism. Formerly a freelance journalist and editor of ""Surfing""   magazine, Carter began his career as a screenwriter in 1985 at The Walt Disney Studios. In 1992 Carter began developing projects for Twentieth Century Fox Television.","1956-10-13",,2,"Chris Carter","Bellflower, California",251.0
"From Wikipedia, the free encyclopedia

Tommy O'Haver (born 1968) is an American film director and screenwriter. He grew up in Carmel, Indiana, a suburb of Indianapolis. He graduated from Indiana University with a degree in Journalism and Comparative Literature. During the mid-nineties, he attended the MFA Film program at the University of Southern California School of Cinematic Arts.[1] While there, he directed shorts that appeared at major festivals, including Sundance and The New York Film Festival.

Billy's Hollywood Screen Kiss, featuring Sean Hayes, was O'Haver's directorial debut. The film focuses on a man, played by Hayes, who fixates on another man whose sexuality he doesn't know, played by Brad Rowe. Billy's Hollywood Screen Kiss played in competition at the 1998 Sundance Film Festival. It is credited with helping Hayes win a role on the long running TV series Will and Grace. Get Over It starred Kirsten Dunst, Ben Foster, Mila Kunis and Zoe Saldana in a teen comedy about a school theater production. O'Haver's third film Ella Enchanted, features Anne Hathaway, in a modern take on the princess fairy tale. Catherine Keener, Ellen Page and James Franco star in An American Crime which premiered at Sundance in 2007. The film is based on a true story about an Indiana woman who in 1965 was charged with the murder of her neighbor's daughter. The initial reaction at Sundance was mixed, but the film went on to garner critical praise. Keener received an Emmy and Golden Globe nomination for her performance. O'Haver and his writing partner, Irene Turner, were nominated for a Writer's Guild Award for the film as well.

He is currently in pre-production on Golden Gate, a thriller for Summit Entertainment, produced by Neil Meron, Craig Zadan and Alison Rosensweig.

Description above from the Wikipedia article Tommy O'Haver, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1968-10-24",,2,"Tommy O'Haver","Indianapolis, Indiana, USA",13.0
"",,,0,"Peter Landesman",,15.0
"From Wikipedia, the free encyclopedia.  Gary Chapman (born 1961) is a British Sculptor, Film director, Animator and Storyboard artist, he made his directorial debut with Valiant. A native of Manchester, England, he created displays for many major British museums.

Description above from the Wikipedia article   Gary Chapman, licensed under CC-BY-SA,full list of contributors on Wikipedia.",,,2,"Gary Chapman","Manchester, England",2.0
"From Wikipedia, the free encyclopedia

Craig Mazin (born April 8, 1971) is an American screenwriter and director.

Mazin was born in Brooklyn, New York, and graduated magna cum laude with a degree in psychology from Princeton University in 1992. He began his entertainment career in marketing; he was an executive with the Walt Disney Company in the mid-90s, responsible for writing and producing campaigns for studio films.

As a screenwriter, his credited work includes Senseless, RocketMan, Scary Movie 3, and Scary Movie 4. Other projects in development include the upcoming movie Opus, an animated collaboration with cartoonist Berkeley Breathed. He has worked almost exclusively for Dimension Films and Miramax Films since 2000. He produced and directed (but did not write) the low-budget superhero film The Specials. Mazin wrote and directed another superhero film spoof Superhero Movie. He also co-wrote the script for the upcoming film The Hangover: Part II.

In 2004, Mazin was elected to the board of directors of the Writers Guild of America, west. He did not seek re-election, and his term expired in September 2006.

Along with fellow former WGA board member Ted Elliott, Mazin runs a website called The Artful Writer, which focuses on issues relevant to working screenwriters.

Description above from the Wikipedia article Craig Mazin, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1971-04-08",,2,"Craig Mazin","Brooklyn, New York, United States",82.0
"Albert Hughes and Allen Hughes (born April 1, 1972), known together professionally as the Hughes brothers, are American film directors, producers and screenwriters. The pair, who are twins, are known for co-directing such visceral, and often violent, movies as Menace II Society, From Hell and The Book of Eli.  Description above from the Wikipedia article Hughes brothers, licensed under CC-BY-SA, full list of contributors on Wikipedia","1972-04-01",,2,"Allen Hughes","Detroit, Michigan, USA",90.0
"From Wikipedia, the free encyclopedia

Kimble Rendall is an Australian director, musician and writer mostly known for his Second unit direction of Matrix Reloaded (2003), Matrix Revolutions (2003), I, Robot (2004), Casanova (2005) and Ghost Rider (2007). As a musician Rendall was guitarist, vocalist and co-founder of punk rockers XL Capris and of rock band Le Hoodoo Gurus.

Description above from the Wikipedia article Kimble Rendall, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,0,"Kimble Rendall","Sydney, Australia",0.0
"From Wikipedia, the free encyclopedia

Peter James Yates (24 July 1929     9 January 2011) was an English film director and producer. He was born in Aldershot, Hampshire.

The son of an army officer, he attended Charterhouse School as a boy, graduated from the Royal Academy of Dramatic Art and worked for some years as an actor, director and stage manager. In the 1950s he started in the movie industry as a dubbing assistant and later an assistant director for Tony Richardson.

Summer Holiday (1963), his first film as director, was a ""lightweight"" vehicle for Cliff Richard. Yates had directed the original Royal Court production of N. F. Simpson's play One Way Pendulum and was chosen to make the film version released in 1964. Robbery (1967), a crime thriller, is a fictionalised version of the Great Train Robbery of 1963. This led to Bullitt (1968), of which Bruce Weber has written, ""Mr. Yates   s reputation probably rests most securely on    Bullitt    (1968), his first American film     and indeed, on one particular scene, an extended car chase that instantly became a classic.""

Yates was nominated for the BAFTA Award for Best Direction for Bullitt (1968). Yates produced and directed Breaking Away (1979), which was nominated for five Academy Awards (""Oscars"") including Best Director and Best Film for Yates. Yates also produced and directed The Dresser (1983), which was an adaptation of the Ronald Harwood stage play. The film received seven BAFTA and five Oscar nominations, including the BAFTA Award for Best Film and for Best Direction and the Academy Award for Best Film and for Best Director for Yates. The Dresser was also entered into the 34th Berlin International Film Festival.

Yates died in London on 9 January 2011. He was 81 years old.

Description above from the Wikipedia article Peter Yates, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1929-07-24","2011-01-09",2,"Peter Yates","Aldershot, Hampshire, England, UK",170.0
"Lars Sven ""Lasse"" Hallstr  m is a Swedish film director. He was nominated for an Academy Award for Best Director for My Life as a Dog (Mitt liv som hund) (1985) and later for The Cider House Rules (1999). Hallstr  m learned his craft making music videos, in particular for the group ABBA. Since the international success of My Life as a Dog (1985), for which he was nominated for Academy Awards for writing and directing, Hallstr  m has worked in American movies. His first notable American success was What's Eating Gilbert Grape (1993). He reached his greatest level of prominence when he was nominated for an Academy Award for best director for the critically acclaimed movie The Cider House Rules (1999) and then later directed the well-received film Chocolat (2000), both of which were nominated for the Academy Award for Best Picture. His 2012 film The Hypnotist was selected as the Swedish entry for the Best Foreign Language Oscar at the 85th Academy Awards, but it did not make the final shortlist.

Description above from the Wikipedia article Lasse  Hallstr  m    , licensed under CC-BY-SA, full list of contributors on Wikipedia.","1946-06-02",,2,"Lasse Hallstr  m","Stockholm, Sweden",529.0
"Jean-Marc Vall  e (born March 9, 1963) is a Canadian film director and screenwriter from Quebec. He is best known for the film C.R.A.Z.Y. (2005) which is one of the most successful films in Quebec history, both financially and critically. At the 26th Genie Awards it was nominated for 13 awards of which it won 11.","1963-03-09",,2,"Jean-Marc Vall  e","Montreal, Canada",212.0
"From Wikipedia, the free encyclopedia.

Lexi Alexander (born in Mannheim) is a German film director and martial artist.

Description above from the Wikipedia article Lexi Alexander, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1974-08-23",,0,"Lexi Alexander","Mannheim, Germany",189.0
"From Wikipedia, the free encyclopedia.

Ronny Yu Yan-Tai (born 1950) is a Hong Kong director, producer, and movie writer. Yu was born in Hong Kong and graduated from Ohio University. He has worked on both Hong Kong and American films.

Description above from the Wikipedia article Ronny Yu, licensed under CC-BY-SA, full list of contributors on Wikipedia",,,0,"Ronny Yu","Hong Kong, China",31.0
"From Wikipedia, the free encyclopedia.

Bille August   (born November 9, 1948) is a Danish Academy Award winning film and television director. His film Pelle the Conqueror from 1987 won the Palme D'or, Academy Award and Golden Globe. He is one of the very few directors to win the Palme D'or twice, winning the prestigious award again in 1991 for The Best Intentions, based on the autobiographical script by Ingmar Bergman. He was married to Swedish actress Pernilla August from 1991 to 1997. His son Anders August is a screenwriter.

Description above from the Wikipedia article Bille August, licensed under CC-BY-SA, full list of contributors on Wikipedia","1948-11-09",,2,"Bille August","Brede, Denmark",55.0
"","1930-07-01","2005-11-11",2,"Moustapha Akkad","Aleppo, Syria",278.0
"","1932-04-08",,2,"Jean-Paul Rappeneau",,22.0
"From Wikipedia, the free encyclopedia.

Joachim R  nning is a Norwegian film director who usually works in a team with Espen Sandberg - both natives of Sandefjord, Norway. As a directing team, they go under the name of Roenberg (their last names put together). They co-own one of Scandinavia's largest production companies for commercials called Motion Blur. In 2006 their feature film debut, Bandidas, starring Penelope Cruz and Salma Hayek, was released worldwide through EuropaCorp and Twentieth Century Fox. The movie was written and produced by legendary French filmmaker Luc Besson. Joachim Roenning has two daughters with his wife Kristin. They live in Oslo, Norway.

Description above from the Wikipedia article Joachim R  nning, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1972-05-30",,0,"Joachim R  nning","Norway",18.0
"From Wikipedia, the free encyclopedia

Tony Kaye (born 1952, London, United Kingdom) is a director of films, music videos, advertisements and documentaries.

Kaye has made several iconic music videos, including the video for ""Runaway Train"" by Soul Asylum, which won a Grammy Award; ""Dani California"" by Red Hot Chili Peppers; ""What God Wants"" by Roger Waters; and ""Help Me"" and ""God's Gonna Cut You Down"" by Johnny Cash. Kaye is a six time Grammy nominated music video director. He won a Grammy in 2006 for the famous Johnny Cash video God's Gonna Cut You Down with cameo appearances by Bono, Johnny Depp, Kanye West, Patti Smith, Terrence Howard, Iggy Pop, The Dixie Chicks, Brian Wilson, Woody Harrelson, Keith Richards, Chris Martin, Sharon Stone, Lisa Marie Presley, Flea, Chris Rock, Justin Timberlake, Kate Moss, Sir Peter Blake, Sheryl Crow, Dennis Hopper, Mick Jones, Jay-Z.

His feature film debut was American History X (1998), a drama about racism starring Edward Norton and Edward Furlong. Norton was later nominated for the Academy Award for Best Actor for his performance in the film.

Kaye has completed his second feature film, Black Water Transit (2010) starring Laurence Fishburne, Karl Urban, Evan Ross, Brittany Snow and Stephen Dorff.

Kaye is currently in pre-production on the film Detachment (2011). A surrealist drama about the decline of the education system in American high schools.

Kaye also has a book of his artwork called ""Epicomedy"" being published by Phaidon Press.

Kaye has made several documentaries, including a self-financed film on the abortion debate in the United States called Lake of Fire, which opened in Toronto to astounding reviews in September 2006. Lake of Fire made the Academy of Motion Pictures, Arts and Sciences short-list for Best Documentary Film. It was also nominated for Best Documentary Film at The Independent Spirit Awards, Chicago Film Critic Association Awards and the Satellite Awards.

He also directed the web short This Is Not Sex, starring Seth Rogen and Elizabeth Banks of Zack and Miri Make a Porno.

Description above from the Wikipedia article Tony Kaye (director), licensed under CC-BY-SA, full list of contributors on Wikipedia.","1946-01-11",,2,"Tony Kaye","London, United Kingdom",194.0
"","1970",,0,"Ken Scott","Qu  bec - Canada",31.0
"",,,2,"Hugh Johnson",,3.0
"Hayao Miyazaki (Miyazaki Hayao, born January 5, 1941) is a Japanese manga artist and prominent film director and animator of many popular anime feature films. Through a career that has spanned nearly five decades, Miyazaki has attained international acclaim as a maker of animated feature films and, along with Isao Takahata, co-founded Studio Ghibli, an animation studio and production company. The success of Miyazaki's films has invited comparisons with American animator Walt Disney, British animator Nick Park as well as Robert Zemeckis, who pioneered Motion Capture animation, and he has been named one of the most influential people by Time Magazine.

Miyazaki began his career at Toei Animation as an in-between artist for Gulliver's Travels Beyond the Moon where he pitched his own ideas that eventually became the movie's ending. He continued to work in various roles in the animation industry over the decade until he was able to direct his first feature film Lupin III: The Castle of Cagliostro which was published in 1979. After the success of his next film, Nausica   of the Valley of the Wind, he co-founded Studio Ghibli where he continued to produce many feature films until Princess Mononoke whereafter he temporarily retired.

While Miyazaki's films have long enjoyed both commercial and critical success in Japan, he remained largely unknown to the West until Miramax released his 1997 film, Princess Mononoke. Princess Mononoke was the highest-grossing film in Japan   until it was eclipsed by another 1997 film, Titanic   and the first animated film to win Picture of the Year at the Japanese Academy Awards. Miyazaki returned to animation with Spirited Away. The film topped Titanic's sales at the Japanese box office, also won Picture of the Year at the Japanese Academy Awards and was the first anime film to win an American Academy Award.

Miyazaki's films often incorporate recurrent themes, such as humanity's relationship to nature and technology, and the difficulty of maintaining a pacifist ethic. Reflecting Miyazaki's feminism, the protagonists of his films are often strong, independent girls or young women. Miyazaki is a vocal critic of capitalism and globalization.[3] While two of his films, The Castle of Cagliostro and Castle in the Sky, involve traditional villains, his other films such as Nausicaa or Princess Mononoke present morally ambiguous antagonists with redeeming qualities.","1941-01-05",,2,"Hayao Miyazaki","Tokyo",6000.0
"From Wikipedia, the free encyclopedia.   

Rand Ravich is a film and television director, writer, and producer. He wrote and directed the 1999 science fiction thriller The Astronaut's Wife starring Johnny Depp and Charlize Theron, which was nominated for the Best Film category at the 1999 Catalonian International Film Festival. He was a producer on the film Confessions of a Dangerous Mind, and also wrote the screenplays for the Candyman sequel Candyman 2: Farewell to the Flesh and the 1997 movie The Maker. Ravich is the creator of the NBC television drama series Life. He was also the show's executive producer and one of the writers. He attended Arthur L. Johnson Regional High School, but graduated from Solomon Schecter, a small Jewish day school, before attending Haverford College in Pennsylvania. He majored in Philosophy, studying with Richard J. Bernstein, Aryeh Kosman, and Paul Desjardins. Professor Desjardin's name, and many other references to Haverford, crop up regularly in Life). While at Haverford, Rand came under the tutelage of Professor Bob Butman, who fostered Rand's creative interests and pushed him on the path to his writing career.",,,2,"Rand Ravich",,7.0
"From Wikipedia, the free encyclopedia.

Hugh Hudson (born 25 August 1936) is an English film director. His best-known international success is the 1981 multiple Academy Award-winning film, Chariots of Fire.

Description above from the Wikipedia article Hugh Hudson, licensed under CC-BY-SA, full list of contributors on Wikipedia.","1936-08-25",,2,"Hugh Hudson","London, England, UK",46.0
"",,,0,"Jeremy Degruson",,0.0
"From Wikipedia, the free encyclopedia.

Chris Gorak is a film director who started as an art director and production designer. He has directed the 2006 film Right at Your Door and is directing the upcoming film The Darkest Hour.

Gorak attended Tulane University where he earned an architecture degree. He changed his career to film and worked as art director for directors like David Fincher, the Coen brothers, and Terry Gilliam. When Gorak worked as production designer on the 2004 film The Clearing, he expressed afterward to its producers an interest in film direction. They challenged him to provide something viable, and he wrote a script for an intended short film titled Right at Your Door. He eventually directed the 2006 feature thriller film Right at Your Door, which he said was reflective of authorities being impotent in a world after the September 11 attacks. He had initially worried about his film being too similar to 28 Days Later but found inspiration in filming on a low budget. After Right at Your Door, he planned to write and direct a cop drama titled SIS.[4] The film is not yet realized, and Gorak is currently directing the alien invasion film The Darkest Hour for release in 2011.

Gorak is a member of the Art Directors Guild.

Description above from the Wikipedia article Chris Gorak, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,"Chris Gorak",,21.0
"",,,2,"Scott Speer",,35.0
"",,,2,"Joe Charbanic",,10.0
"From Wikipedia, the free encyclopedia

Jonathan Blair Hensleigh (born February 1959) is an American screenwriter and film director, working primarily in the action/adventure genre of films.

Description above from the Wikipedia article Jonathan Hensleigh, licensed under CC-BY-SA, full list of contributors on Wikipedia.",,,2,"Jonathan Hensleigh",,36.0
